Date,Open
2019-03-25,375.579987
2019-04-01,385.799988
2019-04-08,376.200012
2019-04-15,376.700012
2019-04-22,375.690002
2019-04-29,378.489990
2019-05-06,367.880005
2019-05-13,344.510010
2019-05-20,353.000000
2019-05-27,355.290009
2019-06-03,338.200012
2019-06-10,356.000000
2019-06-17,348.619995
2019-06-24,372.950012
2019-07-01,364.880005
2019-07-08,350.410004
2019-07-15,360.500000
2019-07-22,376.940002
2019-07-29,344.989990
2019-08-05,332.459991
2019-08-12,333.679993
2019-08-19,334.179993
2019-08-26,365.040009
2019-09-02,354.109985
2019-09-09,357.980011
2019-09-16,378.140015
2019-09-23,376.609985
2019-09-30,383.000000
2019-10-07,374.059998
2019-10-14,374.250000
2019-10-21,332.890015
2019-10-28,341.500000
2019-11-04,346.459991
2019-11-11,349.040009
2019-11-18,371.670013
2019-11-25,372.519989
2019-12-02,367.079987
2019-12-09,352.670013
2019-12-16,328.529999
2019-12-23,336.750000
2019-12-30,330.500000
2020-01-06,329.299988
2020-01-13,332.399994
2020-01-20,322.600006
2020-01-27,316.209991
2020-02-03,318.750000
2020-02-10,337.220001
2020-02-17,338.769989
2020-02-24,320.000000
2020-03-02,279.540009
2020-03-09,238.000000
2020-03-16,149.419998
2020-03-23,98.750000
2020-03-30,153.809998
2020-04-06,133.699997
2020-04-13,155.500000
2020-04-20,147.210007
2020-04-27,129.970001
2020-05-04,127.120003
2020-05-11,130.919998
2020-05-18,126.180000
2020-05-25,145.210007
2020-06-01,145.449997
2020-06-08,222.940002
2020-06-15,177.179993
2020-06-22,184.559998
2020-06-29,181.000000
2020-07-06,184.520004
2020-07-13,180.199997
2020-07-20,175.130005
2020-07-27,173.190002
2020-08-03,156.509995
2020-08-10,171.360001
2020-08-17,178.240005
2020-08-24,168.779999
2020-08-31,174.649994
2020-09-07,165.800003
2020-09-14,161.750000
2020-09-21,157.830002
2020-09-28,160.330002
2020-10-05,169.490005
2020-10-12,167.750000
2020-10-19,169.089996
2020-10-26,164.949997
2020-11-02,145.750000
2020-11-09,179.000000
2020-11-16,194.559998
2020-11-23,203.240005
2020-11-30,215.699997
2020-12-07,238.500000
2020-12-14,235.000000
2020-12-21,212.339996
2020-12-28,218.190002
2021-01-04,210.000000
2021-01-11,203.029999
2021-01-18,206.990005
2021-01-25,203.270004
2021-02-01,196.000000
2021-02-08,209.550003
2021-02-15,213.080002
2021-02-22,211.889999
2021-03-01,219.600006
2021-03-08,226.669998
2021-03-15,274.149994
2021-03-22,255.820007
2021-03-29,251.300003
2021-04-05,256.559998
2021-04-12,250.570007
2021-04-19,247.000000
2021-04-26,240.240005
2021-05-03,234.110001
2021-05-10,236.839996
2021-05-17,226.240005
2021-05-24,235.139999
2021-05-31,253.000000
2021-06-07,251.500000
2021-06-14,246.440002
2021-06-21,238.660004
2021-06-28,244.729996
2021-07-05,236.850006
2021-07-12,237.990005
2021-07-19,211.179993
2021-07-26,220.000000
2021-08-02,227.190002
2021-08-09,229.000000
2021-08-16,231.899994
2021-08-23,215.830002
2021-08-30,222.350006
2021-09-06,215.910004
2021-09-13,211.350006
2021-09-20,210.809998
2021-09-27,224.000000
2021-10-04,225.679993
2021-10-11,226.500000
2021-10-18,216.000000
2021-10-25,213.250000
2021-11-01,207.000000
2021-11-08,225.240005
2021-11-15,227.369995
2021-11-22,215.000000
2021-11-29,201.869995
2021-12-06,199.770004
2021-12-13,202.500000
2021-12-20,188.110001
2021-12-27,201.990005
2022-01-03,204.000000
2022-01-10,214.259995
2022-01-17,224.500000
2022-01-24,199.850006
2022-01-31,190.729996
2022-02-07,205.789993
2022-02-14,213.000000
2022-02-21,205.000000
2022-02-28,198.580002
2022-03-07,181.029999
2022-03-14,175.880005
2022-03-21,184.399994
2022-03-28,188.429993
2022-04-04,190.020004
2022-04-11,173.839996
2022-04-18,181.449997
2022-04-25,174.509995
2022-05-02,148.020004
2022-05-09,146.000000
2022-05-16,127.050003
2022-05-23,121.699997
2022-05-30,131.029999
2022-06-06,139.990005
2022-06-13,123.000000
2022-06-20,139.169998
2022-06-27,140.279999
2022-07-04,136.250000
2022-07-11,137.770004
2022-07-18,153.309998
2022-07-25,156.940002
2022-08-01,165.949997
2022-08-08,166.410004
2022-08-15,169.289993
2022-08-22,159.399994
2022-08-29,162.279999
2022-09-05,152.389999
2022-09-12,158.460007
2022-09-19,142.619995
2022-09-26,129.770004
2022-10-03,122.000000
2022-10-10,131.419998
2022-10-17,136.979996
2022-10-24,142.850006
2022-10-31,141.880005
2022-11-07,161.399994
2022-11-14,176.500000
2022-11-21,172.529999
2022-11-28,176.169998
2022-12-05,182.000000
2022-12-12,180.800003
2022-12-19,184.919998
2022-12-26,189.580002
2023-01-02,192.949997
2023-01-09,212.360001
2023-01-16,212.710007
2023-01-23,208.360001
2023-01-30,209.190002
2023-02-06,205.190002
2023-02-13,213.600006
2023-02-20,208.990005
2023-02-27,199.869995
2023-03-06,214.119995
2023-03-13,200.199997
2023-03-20,201.119995
2023-03-27,198.630005
2023-04-03,212.800003
2023-04-10,211.000000
2023-04-17,202.000000
2023-04-24,204.869995
2023-05-01,206.250000
2023-05-08,199.160004
2023-05-15,200.009995
2023-05-22,205.509995
2023-05-29,204.089996
2023-06-05,213.279999
2023-06-12,217.160004
2023-06-19,218.889999
2023-06-26,206.110001
2023-07-03,210.500000
2023-07-10,211.839996
2023-07-17,212.500000
2023-07-24,212.059998
2023-07-31,238.990005
2023-08-07,232.740005
2023-08-14,237.000000
2023-08-21,226.800003
2023-08-28,224.210007
2023-09-04,223.100006
2023-09-11,213.759995
2023-09-18,207.910004
2023-09-25,196.839996
2023-10-02,191.470001
2023-10-09,188.000000
